"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Publisher","Document Type","Source"
"Mohamed, M.A.; Dirie, A.N.; Mohamud, A.B.; Farah, M.A.; Nur, A.A.","Mohamed, Mahad Abdiwali (60332580300); Dirie, Ahmed Nur (59238226700); Mohamud, Abdiaziz Bashir (60331753000); Farah, Mohamed Abdisamad (60331621100); Nur, Abdirahman Ahmed (60332168400)","60332580300; 59238226700; 60331753000; 60331621100; 60332168400","A bibliometric study on cryptocurrency crowdfunding and Islamic finance for advancing Shariah-compliant FinTech","2026","Discover Sustainability","7","1","67","","","0","10.1007/s43621-025-02349-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027397117&doi=10.1007%2Fs43621-025-02349-5&partnerID=40&md5=e3e06a3ea2f98aab0a4e1a824459aa84","Faculty of Management and Economics, Salaam University, Mogadishu, Banaadir, Somalia","Mohamed, Mahad Abdiwali, Faculty of Management and Economics, Salaam University, Mogadishu, Banaadir, Somalia; Dirie, Ahmed Nur, Faculty of Management and Economics, Salaam University, Mogadishu, Banaadir, Somalia; Mohamud, Abdiaziz Bashir, Faculty of Management and Economics, Salaam University, Mogadishu, Banaadir, Somalia; Farah, Mohamed Abdisamad, Faculty of Management and Economics, Salaam University, Mogadishu, Banaadir, Somalia; Nur, Abdirahman Ahmed, Faculty of Management and Economics, Salaam University, Mogadishu, Banaadir, Somalia","This paper conducts a bibliometric review of the scholarly sources of the intersection of cryptocurrencies, crowdfunding, and Islamic finance, in order to see the trends, contributions, and new directions to make Shariah-compliant FinTech and sustainability. The past decade witnessed the revolution of digital technologies such as blockchain, IoT, and AI in the banking and industries. Cryptocurrencies make the peer-to-peer transactions possible and crowdfunding helps businesses to raise funds. The concept of blockchain and central bank digital currency (CBDCs) will support sustainable finance by improving green bonds and reducing emissions. Crowdfunding in Islamic finance complies with the Shariah, as offered under risk-sharing schemes like the Mudarabah and Qard Hasan; however, the integration of the cryptocurrency as an additional risk management tool faces regulatory and compliance difficulties. Despite recent growing academic attention since 2017, most prominently dropped by Malaysia and Indonesia, there exist gaps in understanding their synergistic role towards financial inclusion and strong sustainability (SS). Blockchain relieves gharar and automates contracts that are Shariah compliant; however, there are still regulatory disagreements. Planned performing and ethics theories, the Theory of Planned Behaviors and Maqasid al-Shariah educate about the open and fair influences in adoption and assessment procedures. Through the VOSviewer and Scopus data (20142025), 158 articles reveal a maximum of publications of 2024, a high of 2020 citations, and the two countries, Malaysia (60 documents) and Indonesia as the most significant ones, with such publications as the Journal of Islamic Accounting and Business Research. Recommendations on transparent, sustainable financial ecosystems involve better blockchain-based crowdfunding, Shariah-ajority digital currencies, and better cryptocurrency determinations. © The Author(s) 2025.","Bibliometric study; Crowdfunding; Cryptocurrency; Islamic finance; Sharia compliant FinTech","Springer Nature","Article","Scopus"
"Ntuala, G.M.; Xia, Q.; Xia, H.; Badjie, A.; Mukala, P.; da Silva Tavares, E.E.; Gao, J.; Ukwuoma, C.C.","Ntuala, Grace Mupoyi (60002650900); Xia, Qi (35101036600); Xia, Hu (36024522400); Badjie, Ansu (60002466800); Mukala, Patrick (56507531700); da Silva Tavares, Eliezer (57467275600); Gao, Jianbin (55919311700); Ukwuoma, Chiagoziem Chima (57206891969)","60002650900; 35101036600; 36024522400; 60002466800; 56507531700; 57467275600; 55919311700; 57206891969","A dual-layer GNN with economic penalty mechanisms for blockchain fraud detection","2026","Expert Systems with Applications","299","","130121","","","0","10.1016/j.eswa.2025.130121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024201503&doi=10.1016%2Fj.eswa.2025.130121&partnerID=40&md5=3e8074c6c13bdd3cf904f8f6b0ee91e9","University of Electronic Science and Technology of China, Chengdu, Sichuan, China; School of Computer Science, University of Wollongong in Dubai, Dubai, United Arab Emirates; School of International Education, Chengdu University of Technology, Chengdu, China","Ntuala, Grace Mupoyi, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Xia, Qi, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Xia, Hu, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Badjie, Ansu, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Mukala, Patrick, School of Computer Science, University of Wollongong in Dubai, Dubai, United Arab Emirates; da Silva Tavares, Eliezer, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Gao, Jianbin, University of Electronic Science and Technology of China, Chengdu, Sichuan, China; Ukwuoma, Chiagoziem Chima, School of International Education, Chengdu University of Technology, Chengdu, China","Blockchain fraud detection faces critical challenges with an estimated $12.03 billion in potential losses from fraudulent transactions in cryptocurrency networks. Traditional rule-based and static machine learning approaches fail to capture the complex, evolving relationships in blockchain transaction networks. In this paper, we present HTFD (Hybrid Transactional Fraud Detection), a novel framework that integrates Graph Neural Networks (GNNs) with an economic penalty mechanism for both fraud detection and mitigation. HTFD introduces several key innovations: A dual-layer GNN architecture (GCN + GAT) that jointly exploits structural learning and attention-based neighbor weighting to uncover hidden fraudulent transaction patterns; An economic penalty mechanism that dynamically suppresses the impact of fraudulent nodes by removing suspicious transactions, enhancing security beyond detection; A scalable, real-world validation on three Ethereum stablecoin datasets, achieving superior AUC (96.02 %) with balanced precision-recall while maintaining practical throughput and latency; and a practical fraud defense paradigm that demonstrates real-time applicability, offering a balance between detection accuracy, scalability, and network decentralization. Results validate HTFD as a novel and effective blockchain fraud detection framework that not only identifies fraudulent behaviors but also mitigates their impact, making it suitable for securing high-throughput decentralized financial networks. © 2025 Elsevier Ltd. All rights are reserved, including those for text and data mining, AI training, and similar technologies.","Blockchain fraud detection; Economic penalties; Ethereum; Graph neural networks; Machine learning; Network security","Elsevier Ltd","Article","Scopus"
"Cheah, J.E.-T.; Dao, T.; Do, H.; Mishra, T.","Cheah, Jeremy Eng Tuck (57219857925); Dao, Thong (57372940900); Do, Hung (58606327800); Mishra, Tapas Kumar (22935105900)","57219857925; 57372940900; 58606327800; 22935105900","Speed of Adjustment in Digital Assets in a Decentralized Financial World","2026","Journal of Futures Markets","46","2","","320","333","0","10.1002/fut.70055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021273467&doi=10.1002%2Ffut.70055&partnerID=40&md5=b89adff4abc704129b50b13d4dad9edc","Nottingham Trent University, Nottingham, Nottinghamshire, United Kingdom; School of Accountancy, Massey Business School, Palmerston North, MWT, New Zealand; International School, Vietnam National University, Hanoi, Hanoi, Viet Nam; University of Southampton, Southampton, Hampshire, United Kingdom","Cheah, Jeremy Eng Tuck, Nottingham Trent University, Nottingham, Nottinghamshire, United Kingdom; Dao, Thong, Nottingham Trent University, Nottingham, Nottinghamshire, United Kingdom; Do, Hung, School of Accountancy, Massey Business School, Palmerston North, MWT, New Zealand, International School, Vietnam National University, Hanoi, Hanoi, Viet Nam; Mishra, Tapas Kumar, University of Southampton, Southampton, Hampshire, United Kingdom","This paper investigates the stability and co-movement of cryptocurrency assets in Decentralized Finance (DeFi), with a focus on the Speed of Adjustment (SA), the rate at which shocks dissipate, and prices revert to long-run equilibrium. SA provides a critical measure of market efficiency and portfolio allocation in a highly volatile DeFi environment. We extend conventional cointegration analysis by applying a Fractionally Cointegrated Vector Autoregressive framework, which captures slow error corrections. Rolling estimations generate a time-varying series of SA, allowing examination of its evolution and cross-asset spillovers. The results reveal multiple cointegrating relationships, heterogeneous adjustment speeds, and strong contagion effects among DeFi assets. For instance, RPL exhibits rapid yet volatile adjustment, while LDO, BAL, and SNX revert more slowly, reflecting distinct risk-return trade-offs. Spillover analysis highlights high systemic interconnectedness, underscoring challenges for diversification and contagion management. Overall, dynamic SA emerges as a valuable forward-looking indicator of stability in digital asset markets. © 2025 The Author(s). The Journal of Futures Markets published by Wiley Periodicals LLC.","blockchain technology; digital assets; ecentralized finance; speed of adjustment; spillover effect","John Wiley and Sons Inc","Article","Scopus"
"Wang, G.; Hausken, K.","Wang, Guizhou (57221098821); Hausken, Kjell (35240013300)","57221098821; 35240013300","Unravelling the global landscape of Bitcoin research: insights from bibliometric analysis","2026","Technology Analysis and Strategic Management","38","1","","1","18","5","10.1080/09537325.2024.2306931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184262697&doi=10.1080%2F09537325.2024.2306931&partnerID=40&md5=b5decac0bff05809cf32d5a4820f1622","Faculty of Science and Technology, Universitetet i Stavanger, Stavanger, Norway","Wang, Guizhou, Faculty of Science and Technology, Universitetet i Stavanger, Stavanger, Norway; Hausken, Kjell, Faculty of Science and Technology, Universitetet i Stavanger, Stavanger, Norway","Bitcoin has been gaining increasing attention in academia and industry. This article investigates Bitcoin’s research status and evolution via bibliometrics using a dataset of 3,873 publications between 2012 and 2022 from the Web of Science Core Collection. The findings reveal a significant increase in research on Bitcoin since 2017, coinciding with the cryptocurrency bull market. The article identifies publication trends, influential contributors, collaboration networks, and topics evolution in Bitcoin research. The three Bitcoin research stages are conceptualisation and fundamentals of Bitcoin (2012–2016), cryptocurrency and market efficiency (2017–2018), and technical analysis, big data, data privacy, and the connection between Bitcoin and financial markets (2019–2022). The four prominent emerging areas for future Bitcoin research are decentralised finance (DeFi), non-fungible tokens (NFTs), clean energy and mining, and monetary policy. The article offers valuable insights for researchers, policymakers, and practitioners, facilitating a better understanding of the status quo of Bitcoin research. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","bibliometric analysis; Bitcoin; blockchain; cryptocurrency; systematic review","Routledge","Article","Scopus"
"Kranz, T.; Schaaf, V.; Guggenberger, T.; Strüker, J.","Kranz, Tobias T. (36809923900); Schaaf, Vincent (59960318700); Guggenberger, Tobias (57218403033); Strüker, Jens (6507170631)","36809923900; 59960318700; 57218403033; 6507170631","From Bricks to Blocks: Designing a Framework for the Tokenization of Real Estate for DeFi","2026","IEEE Access","14","","","4089","4109","0","10.1109/ACCESS.2025.3648172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026081726&doi=10.1109%2FACCESS.2025.3648172&partnerID=40&md5=a8aaad21b4c63a41c2d433045da9bb38","Fraunhofer Institute for Applied Information Technology FIT, Sankt Augustin, Nordrhein-Westfalen, Germany; Universität Bayreuth, Bayreuth, Bayern, Germany; Frankfurt University of Applied Sciences, Frankfurt am Main, Hessen, Germany","Kranz, Tobias T., Fraunhofer Institute for Applied Information Technology FIT, Sankt Augustin, Nordrhein-Westfalen, Germany, Universität Bayreuth, Bayreuth, Bayern, Germany; Schaaf, Vincent, Universität Bayreuth, Bayreuth, Bayern, Germany, Frankfurt University of Applied Sciences, Frankfurt am Main, Hessen, Germany; Guggenberger, Tobias, Fraunhofer Institute for Applied Information Technology FIT, Sankt Augustin, Nordrhein-Westfalen, Germany, Universität Bayreuth, Bayreuth, Bayern, Germany; Strüker, Jens, Fraunhofer Institute for Applied Information Technology FIT, Sankt Augustin, Nordrhein-Westfalen, Germany, Universität Bayreuth, Bayreuth, Bayern, Germany","Decentralized Finance (DeFi) promises to lay ground for a more open financial system enabled by blockchain technology. Therein, stablecoins have recently gained momentum as regulated and trusted payment instruments, increasingly adopted for cross-border transactions and supported by initiatives such as the GENIUS Act in the U.S. and the European MiCAR framework. While stablecoins create the foundation of trust for linking DeFi with traditional finance, the ecosystem still depends heavily on cryptocurrency markets due to limited real-world asset integration. Existing research largely focuses on traditional securities and tradable assets, but scant attention has been paid to one of the world’s largest asset classes, real estate. To address this gap, we propose a framework for the tokenization of real estate for integration into the DeFi ecosystem. Using the Design Science Research (DSR) approach, we construct and evaluate our framework through expert interviews and smart contract simulations. The simulations validate technical feasibility and demonstrate efficiency gains, with batch transfers reducing transaction costs for portfolio purchases. Building on these evaluations, we derive design principles for the nascent field of real-world asset tokenization. These principles highlight the importance of covering the entire product range, pursuing end-to-end compliance, leveraging token standards for interoperability, and extending their functionality for efficiency and scalability. By combining regulatory, organizational, and technical perspectives, our work advances design knowledge for compliant integration of real-world assets into DeFi. © 2013 IEEE.","Blockchain; DeFi; DSR; real-world asset; tokenization","Institute of Electrical and Electronics Engineers Inc.","Article","Scopus"
"Kopyciok, Y.; Victor, F.; Schmid, S.","Kopyciok, Yannik (59170996200); Victor, Friedhelm (57203004589); Schmid, Stefan (35424598400)","59170996200; 57203004589; 35424598400","Monero’s Decentralized P2P Exchanges: Functionality, Adoption, and Privacy Risks","2026","Lecture Notes in Computer Science","15753 LNCS","","","200","215","0","10.1007/978-3-032-00492-5_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022067482&doi=10.1007%2F978-3-032-00492-5_14&partnerID=40&md5=a8a43610ebf108b1b98762780533352b","Technische Universität Berlin, Berlin, Germany; Weizenbaum Institute, Berlin, Germany; TRM Labs, San Francisco, CA, United States","Kopyciok, Yannik, Technische Universität Berlin, Berlin, Germany; Victor, Friedhelm, TRM Labs, San Francisco, CA, United States; Schmid, Stefan, Technische Universität Berlin, Berlin, Germany, Weizenbaum Institute, Berlin, Germany","Privacy-focused cryptocurrencies like Monero remain popular, despite increasing regulatory scrutiny that has led to their delisting from major centralized exchanges. The latter also explains the recent popularity of decentralized exchanges (DEXs) with no centralized ownership structures. These platforms typically leverage peer-to-peer (P2P) networks, promising secure and anonymous asset trading. However, questions of liability remain, and the academic literature lacks comprehensive insights into the functionality, trading activity, and privacy claims of these P2P platforms. In this paper, we provide an early systematization of the current landscape of decentralized peer-to-peer exchanges within the Monero ecosystem. We examine several recently developed DEX platforms, analyzing their popularity, functionality, architectural choices, and potential weaknesses. We further identify and report on a privacy vulnerability in the recently popularized Haveno exchange, demonstrating that certain Haveno trades could be detected, allowing transactions to be linked across the Monero and Bitcoin blockchains. We hope that our findings can nourish the discussion in the research community about more secure designs, and provide insights for regulators. © International Financial Cryptography Association 2026.","Cryptocurrency; Decentralized Exchanges; Privacy","Springer Science and Business Media Deutschland GmbH","Conference paper","Scopus"
"Pandey, U.K.; Nair, M.S.; Gupta, S.","Pandey, Umesh Kumar (57195483904); Nair, Mamta Santosh (57215691287); Gupta, Shikha Pranesh (57924898700)","57195483904; 57215691287; 57924898700","Community Startup Management System: A Blockchain Approach","2026","Lecture Notes in Networks and Systems","1649 LNNS","","","65","72","0","10.1007/978-3-032-06674-9_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021812042&doi=10.1007%2F978-3-032-06674-9_8&partnerID=40&md5=6a643890cca82a54aa0bf9cd35731d35","United College of Engineering & Research Prayagraj, Prayagraj, UP, India; Shri Vile Parle Kelvani Mandal’s Narsee Monjee Institute of Management Studies (Deemed to be University), Mumbai, Mumbai, MH, India; Rajiv Gandhi Institute of Technology, Mumbai, Mumbai, MH, India","Pandey, Umesh Kumar, United College of Engineering & Research Prayagraj, Prayagraj, UP, India; Nair, Mamta Santosh, Shri Vile Parle Kelvani Mandal’s Narsee Monjee Institute of Management Studies (Deemed to be University), Mumbai, Mumbai, MH, India; Gupta, Shikha Pranesh, Rajiv Gandhi Institute of Technology, Mumbai, Mumbai, MH, India","Start-ups are buzzing word around the world. These start-ups need funding in their early stage with a high risk of failure and violation of the innovator's intellectual property. Any system's prime responsibility is to ensure the fund availability to the start-up and save the innovator's intellectual property since blockchain has become the chief technology in digital cryptocurrencies. Bitcoin. Blockchain has become popular in finance, the health sector, social services and many more areas where transactions are recorded among the parties, known or unknown—the critical features of block Chainz. Decentralisation, distribution, immutability, transparency and audit-ability enrich the usability of this technology and increase the trust to use it. Therefore, a system is proposed here to manage start-ups utilising blockchain features. The proposed system ensures that parties to the contract have more confidence and feel safe to grow start-ups in the community and prevent unnecessary conflicts. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Blockchain; collateral management system; consensus; cryptography; Distributed Ledger; SHA 256 hash algorithm; smart contract First Section","Springer Science and Business Media Deutschland GmbH","Conference paper","Scopus"
"Adekunle, P.; Clinton, C.; Otasowie, K.; Ayobami, I.","Adekunle, Peter Ademola (57909392600); Clinton, Aigbavboa Ohis (54956705100); Otasowie, Osamudiamen Kenneth (57214314440); Ayobami, Idowu Omolola (58628771300)","57909392600; 54956705100; 57214314440; 58628771300","Cryptocurrency Transactions in the Construction Industry: Trends and Security Implications","2026","Lecture Notes in Networks and Systems","1678 LNNS","","","370","386","0","10.1007/978-3-032-07992-3_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021799995&doi=10.1007%2F978-3-032-07992-3_24&partnerID=40&md5=e54df01de51c43577b12b32e865176cb","cidb Centre of Excellence and Sustainable Human Settlement and Construction Research Centre, University of Johannesburg, Johannesburg, Gauteng, South Africa","Adekunle, Peter Ademola, cidb Centre of Excellence and Sustainable Human Settlement and Construction Research Centre, University of Johannesburg, Johannesburg, Gauteng, South Africa; Clinton, Aigbavboa Ohis, cidb Centre of Excellence and Sustainable Human Settlement and Construction Research Centre, University of Johannesburg, Johannesburg, Gauteng, South Africa; Otasowie, Osamudiamen Kenneth, cidb Centre of Excellence and Sustainable Human Settlement and Construction Research Centre, University of Johannesburg, Johannesburg, Gauteng, South Africa; Ayobami, Idowu Omolola, cidb Centre of Excellence and Sustainable Human Settlement and Construction Research Centre, University of Johannesburg, Johannesburg, Gauteng, South Africa","Transactions using cryptocurrencies are promising to increase financial operations’ security, efficiency, and transparency in the building sector. This study investigates the most important players, emerging trends, and cooperative networks using Bitcoin transactions in the building industry. A bibliometric analysis was conducted by carefully going through the Scopus database, focussing on journal articles, conference proceedings, and book chapters released in the previous ten years. Key theme clusters in the research are identified by the VOSviewer analysis, which also shows growing interest in using blockchain technology and cryptocurrencies in construction transactions. The results highlight how bitcoin, especially with blockchain, may increase financial transparency in building projects, expedite payments, and improve contract management through smart contracts. However, widespread use is hampered by serious security issues like fraud risks, cyber threats, and regulatory difficulties. In addition to offering a thorough bibliometric analysis, this study makes recommendations for future research areas, such as fixing security flaws, creating precise regulatory frameworks, and investigating the integration of cryptocurrencies with conventional financial institutions. The study offers insightful information on how Bitcoin transactions could transform financial procedures in the building sector, fostering increased effectiveness and openness while getting past legal and security barriers. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Blockchain; Cryptocurrency; Decentralized; Distributed ledger; Security; Transparency","Springer Science and Business Media Deutschland GmbH","Conference paper","Scopus"
"Benlemlih, B.; Abderrazak, P.E.H.; Haoudi, P.A.; Haroun, E.A.","Benlemlih, Youssef (59332791900); Abderrazak, Pr El Hiri (60162693500); Haoudi, Pr Amina (60162912700); Haroun, El Aouad (60162766100)","59332791900; 60162693500; 60162912700; 60162766100","Regulatory Initiatives on Cryptocurrencies: Adapting the EU's MiCA Framework to the MENA Region's Banking Institutions","2026","Lecture Notes in Networks and Systems","1584 LNNS","","","311","316","0","10.1007/978-3-032-01536-5_48","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020260922&doi=10.1007%2F978-3-032-01536-5_48&partnerID=40&md5=7453ee2be0433d553f706e7937ecd90c","Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco","Benlemlih, Youssef, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco; Abderrazak, Pr El Hiri, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco; Haoudi, Pr Amina, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco; Haroun, El Aouad, Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco","This study investigates the feasibility of adapting the European Union’s Markets in Crypto-Assets Regulation (MiCA) and its complementary frameworks—exemplified by France’s PACTE law—to the banking institutions of the MENA region. By employing a mixed-methods research design that combines an extensive literature review, in-depth expert interviews, and a comprehensive Likert-scale survey administered to European and MENA stakeholders, this study identifies key components necessary for an effective regulatory model. The research emphasizes the importance of harmonized legislation aligned with EU standards, the establishment of a specialized regulatory body, and the formulation of clear licensing protocols. In addition, significant challenges—such as technological integration, infrastructural deficits, and the need for enhanced financial literacy—are discussed. A detailed action plan, exemplified by a strategic roadmap for Bank Al-Maghrib, is proposed to illustrate how Morocco can emerge as a leader in regional digital finance while ensuring robust financial stability. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","Bank Al-Maghrib; Blockchain; Cryptocurrencies; Digital Finance; MENA; MiCA; Regulatory Framework","Springer Science and Business Media Deutschland GmbH","Conference paper","Scopus"
"Dafri, W.; Al Qaruty, R.; Halima, B.; Abdel Hadi, S.A.; AL-Tkhayneh, K.M.","Dafri, Wided (57222660728); Al Qaruty, Reema (57222088970); Halima, Boukharouba (60161401000); Abdel Hadi, Samer (57200498605); AL-Tkhayneh, Khawlah Mitib (57205494668)","57222660728; 57222088970; 60161401000; 57200498605; 57205494668","Blockchain Solutions and Islamic Compliance for Secure Digital Financial Transformation","2026","Lecture Notes in Networks and Systems","1502 LNNS","","","118","129","0","10.1007/978-3-031-96622-4_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020174820&doi=10.1007%2F978-3-031-96622-4_12&partnerID=40&md5=20cf9b864d06673b6d60397865467503","American University in the Emirates, Dubai, United Arab Emirates; The University of Jordan, Amman, Jordan; Université du Québec à Trois-Rivières, Trois-Rivieres, QC, Canada; Humanities and Social Sciences, Al Ain University, Al Ain, Abu Dhabi, United Arab Emirates","Dafri, Wided, American University in the Emirates, Dubai, United Arab Emirates; Al Qaruty, Reema, The University of Jordan, Amman, Jordan; Halima, Boukharouba, Université du Québec à Trois-Rivières, Trois-Rivieres, QC, Canada; Abdel Hadi, Samer, Humanities and Social Sciences, Al Ain University, Al Ain, Abu Dhabi, United Arab Emirates; AL-Tkhayneh, Khawlah Mitib, Humanities and Social Sciences, Al Ain University, Al Ain, Abu Dhabi, United Arab Emirates","The rapid advancement of Digital Financial Transformation (DFT) has revolutionized financial transactions, enhancing accessibility and convenience. However, this transformation has also introduced critical security and trust challenges, as the increasing interconnectedness of financial institutions exposes them to cyber threats. Blockchain technology emerges as a promising solution to address these concerns, offering decentralization, transparency, and immutability as key features that can strengthen security in digital financial transactions. Originally developed to support cryptocurrencies like Bitcoin, blockchain provides a robust alternative to centralized financial systems by reducing risks associated with single points of failure. This study examines blockchain’s role in enabling Secure Digital Financial Transformation (SDFT) by analyzing its technical aspects, including consensus mechanisms and encryption methods, to demonstrate how it enhances security and reliability in online transactions. Through an extensive literature review, case studies, and practical applications, the paper explores blockchain’s potential to improve trust and transparency in digital finance. Additionally, the study evaluates the regulatory landscape and emerging trends influencing blockchain adoption in financial systems. By providing insights for researchers, financial institutions, and policymakers, this research aims to contribute to the development of a more secure and resilient digital financial ecosystem through blockchain technology. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","blockchain technology; Cryptocurrency; Cybersecurity; Decentralization; Digital financial transformation; Secure transactions","Springer Science and Business Media Deutschland GmbH","Conference paper","Scopus"
